category,text,decision,origin_allowed,state_mutation_allowed,boundary_applied,F,C,P,T,F_margin,C_margin,P_margin,foundation_cost,context_cost,principle_cost,low_signal,semantic_signal,risk_signal,sensitive_intent,manipulation_intent,reason,event_action,admitted,llm_called,should_call_llm
neutral_minimal,hola,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,factual,training,teach,rhetorical,0.007185,0.00503,0.00025,0.975469,0.967975,0.966187,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,hello,MONITOR_OR_ASK_CLARIFICATION,False,False,False,foundational,manipulation,exploit,rhetorical,0.039296,0.002888,0.00691,0.915201,0.919286,0.900634,False,False,False,NOT_SENSITIVE,False,The signal is not strong enough for origin and not clearly low-signal or sensitive.,MONITOR_OR_ASK_CLARIFICATION,False,False,False
neutral_minimal,hi,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,foundational,manipulation,exploit,rhetorical,0.00919,0.020646,0.011386,0.934659,0.928897,0.921774,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,hey,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,foundational,manipulation,exploit,rhetorical,0.019835,0.005413,0.005155,0.938286,0.944685,0.929216,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,buenos dias,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,hypothetical,training,exploit,rhetorical,0.003583,0.016284,0.001882,0.979629,0.959171,0.973333,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,good morning,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,hypothetical,training,exploit,rhetorical,0.000872,0.006046,0.005111,0.967174,0.956961,0.959279,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,ok,ASK_CLARIFICATION_SENSITIVE,False,False,False,foundational,manipulation,exploit,rhetorical,0.005801,0.034885,0.013411,0.925208,0.894073,0.894088,False,False,True,NOT_SENSITIVE,False,Atlas detected manipulation/exploit orientation without enough safe intent clarity.,ASK_CLARIFICATION_SENSITIVE,False,False,False
neutral_minimal,okay,MONITOR_OR_ASK_CLARIFICATION,False,False,False,foundational,manipulation,teach,rhetorical,0.018134,0.021458,0.005692,0.900345,0.888388,0.886726,False,False,False,NOT_SENSITIVE,False,The signal is not strong enough for origin and not clearly low-signal or sensitive.,MONITOR_OR_ASK_CLARIFICATION,False,False,False
neutral_minimal,thanks,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,foundational,manipulation,exploit,rhetorical,0.027518,0.003054,0.003683,0.910603,0.931899,0.912919,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
neutral_minimal,gracias,DEFER_ORIGIN_LOW_SIGNAL,False,False,False,foundational,manipulation,protect,rhetorical,0.01481,0.008479,9.5e-05,0.955053,0.965438,0.973408,True,False,False,NOT_SENSITIVE,False,"Top costs are high and F/C/P margins are very low, so the input is insufficient to create semantic origin.",DEFER_ORIGIN_LOW_SIGNAL,False,False,False
